"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"NA..103",9.99948093788297e-06,9.99801978972168e-06,0.00448561963568379,9.99696310316441e-06,9.99966506490918e-06,9.99976651599879e-06,NA
"NA..104",9.99326666459194e-06,9.97435430408246e-06,0.0562235299246982,9.96124064911973e-06,9.9956476199014e-06,9.99744330936694e-06,NA
"Acanthostracion.polygonius",9.99612554695234e-06,9.98629106784624e-06,0.0291112500894356,9.97997361848249e-06,9.9974898943113e-06,9.99849510666184e-06,"Acanthostracion polygonius"
"Bodianus.rufus",9.99733508126375e-06,9.98976644322847e-06,0.0226225383626964,9.98448295216169e-06,9.99829084422921e-06,9.99897276950122e-06,"Bodianus rufus"
"NA..105",9.99864550433234e-06,9.99475981373254e-06,0.0117249494856457,9.99211494816001e-06,9.99914369099344e-06,9.99946616914009e-06,NA
"Aulostomus.maculatus",9.9812788238148e-06,9.92920740246728e-06,0.155255014095725,9.89259431417618e-06,9.98781390812016e-06,9.99289797794456e-06,"Aulostomus maculatus"
"Synodus.intermedius",9.99716199728902e-06,9.98949506553073e-06,0.0226981954234679,9.98408869250942e-06,9.99813632467533e-06,9.99887457439591e-06,"Synodus intermedius"
"NA..106",9.99938051399655e-06,9.99760946221335e-06,0.00539313383728993,9.99628891306066e-06,9.99960076089285e-06,9.99972678634565e-06,NA
"NA..107",9.99947030809038e-06,9.99799894996793e-06,0.00449199184454846,9.99690996510236e-06,9.99965443274859e-06,9.99975858432083e-06,NA
"Melichthys.niger",9.99353138090269e-06,9.97716240592338e-06,0.0490377077453942,9.96795157805654e-06,9.99587829181982e-06,9.9975910197374e-06,"Melichthys niger"
"Rhomboplites.aurorubens",9.99972873655446e-06,9.99913897766219e-06,0.00179695510103435,9.99870135283246e-06,9.99980137043567e-06,9.9998431708591e-06,"Rhomboplites aurorubens"
"NA..108",9.99534235801938e-06,9.98338406139746e-06,0.0354575816755464,9.97581866135547e-06,9.99699673408045e-06,9.99821317167003e-06,NA
"NA..109",9.99938468249337e-06,9.99761856848428e-06,0.00539046939506563,9.99631096345801e-06,9.99960511964528e-06,9.99973016997331e-06,NA
"NA..110",9.99938174553727e-06,9.99762869174178e-06,0.00538791430778537,9.99633676725113e-06,9.99961062167251e-06,9.99973412485029e-06,NA
"Balistes.vetula",9.99779897281749e-06,9.9922850404471e-06,0.0163653892797885,9.98871161083568e-06,9.99856477999425e-06,9.99912220123084e-06,"Balistes vetula"
"Calamus.calamus",9.9995210736323e-06,9.99832055426651e-06,0.00360672734947889,9.99750296220854e-06,9.99966751975026e-06,9.99976821293232e-06,"Calamus calamus"
"Microspathodon.chrysurus",9.98212640865644e-06,9.93310459794904e-06,0.146116601319493,9.90128508961732e-06,9.98848953822438e-06,9.9933152922045e-06,"Microspathodon chrysurus"
"NA..111",9.99907591007494e-06,9.99664268926125e-06,0.00724633188878923,9.99485001600133e-06,9.99937626341101e-06,9.99959592678128e-06,NA
"Stegastes.diencaeus",9.99480578206194e-06,9.98042236408444e-06,0.0426481271629654,9.97045408705937e-06,9.99661632511475e-06,9.99800163381219e-06,"Stegastes diencaeus"
"NA..112",9.99924555592257e-06,9.99715829493736e-06,0.00630714437489709,9.99570585172176e-06,9.99950881604057e-06,9.99967543281646e-06,NA
"NA..113",9.99912622736335e-06,9.99647560490425e-06,0.00808663687752752,9.99450746357964e-06,9.99945611264e-06,9.99964409738173e-06,NA
"Pomacanthus.paru",9.99841578644907e-06,9.99411640283873e-06,0.0126863469224929,9.99135446564519e-06,9.99893737206639e-06,9.99935216096476e-06,"Pomacanthus paru"
"NA..114",9.99957532983075e-06,9.99841042954168e-06,0.00358361771812112,9.99759052475316e-06,9.99971967890467e-06,9.99979915671897e-06,NA
"NA..115",9.99839377410102e-06,9.99412294972479e-06,0.0126927663845976,9.99120052107761e-06,9.99894702928615e-06,9.99934768743034e-06,NA
"Ginglymostoma.cirratum",9.99180274317731e-06,9.97015296401997e-06,0.0644783561514976,9.95637699877912e-06,9.99477392664392e-06,9.99692884296807e-06,"Ginglymostoma cirratum"
"NA..116",9.99712049280033e-06,9.9889148943641e-06,0.0244519596500869,9.98298079847803e-06,9.99813069163949e-06,9.99887883492213e-06,NA
